ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Joined,Loaned From,Contract Valid Until,Height,Weight,Release Clause,Kit Number,Best Overall Rating
212622,J. Kimmich,27,https://cdn.sofifa.net/players/212/622/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,89,90,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€105.5M,€130K,2283,Right,4,4,3,High/ Medium,Normal (170-185),Yes,<span class="pos pos9">RDM,1-Jul-15,nan,2025,177cm,75kg,€182M,6,nan
200145,Casemiro,30,https://cdn.sofifa.net/players/200/145/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,89,89,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€86M,€300K,2209,Right,3,3,2,Medium/ High,Unique,Yes,<span class="pos pos10">CDM,11-Jul-13,nan,2025,185cm,84kg,€176.3M,14,nan
202126,H. Kane,28,https://cdn.sofifa.net/players/202/126/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,89,89,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,€105.5M,€240K,2193,Right,4,5,3,High/ High,Unique,Yes,<span class="pos pos25">ST,28-Jul-10,nan,2024,188cm,89kg,€200.5M,10,nan
208722,S. Mané,30,https://cdn.sofifa.net/players/208/722/23_60.png,Senegal,https://cdn.sofifa.net/flags/sn.png,89,89,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€99.5M,€145K,2188,Right,4,4,4,High/ Medium,Unique,Yes,<span class="pos pos25">ST,1-Jul-22,nan,2025,174cm,69kg,€164.2M,17,nan
190871,Neymar Jr,30,https://cdn.sofifa.net/players/190/871/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,89,89,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€99.5M,€200K,2157,Right,5,5,5,High/ Medium,Unique,Yes,<span class="pos pos27">LW,3-Aug-17,nan,2025,175cm,68kg,€184.1M,10,nan
215914,N. Kanté,31,https://cdn.sofifa.net/players/215/914/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,89,89,Chelsea,https://cdn.sofifa.net/teams/5/30.png,€72M,€220K,2154,Right,4,3,2,Medium/ High,Unique,Yes,<span class="pos pos13">RCM,16-Jul-16,nan,2023,168cm,70kg,€133.2M,7,nan
200104,H. Son,29,https://cdn.sofifa.net/players/200/104/23_60.png,Korea Republic,https://cdn.sofifa.net/flags/kr.png,89,89,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,€101M,€240K,2141,Right,4,5,4,High/ Medium,Unique,Yes,<span class="pos pos27">LW,28-Aug-15,nan,2025,183cm,78kg,€191.9M,7,nan
210257,Ederson,28,https://cdn.sofifa.net/players/210/257/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,89,91,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€88M,€210K,1583,Left,3,3,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,1-Jul-17,nan,2026,188cm,86kg,€169.4M,31,nan
212831,Alisson,29,https://cdn.sofifa.net/players/212/831/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,89,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€79M,€190K,1437,Right,3,3,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,19-Jul-18,nan,2027,191cm,91kg,€152.1M,1,nan
200389,J. Oblak,29,https://cdn.sofifa.net/players/200/389/23_60.png,Slovenia,https://cdn.sofifa.net/flags/si.png,89,91,Atlético de Madrid,https://cdn.sofifa.net/teams/240/30.png,€85.5M,€100K,1402,Right,5,3,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,16-Jul-14,nan,2023,188cm,87kg,€181.7M,13,nan
210514,João Cancelo,28,https://cdn.sofifa.net/players/210/514/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,88,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€82.5M,€250K,2262,Right,3,4,4,High/ Medium,Unique,Yes,<span class="pos pos7">LB,7-Aug-19,nan,2027,182cm,74kg,€152.6M,7,nan
177003,L. Modrić,36,https://cdn.sofifa.net/players/177/003/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,88,88,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€29M,€230K,2257,Right,4,4,4,Medium/ Medium,Lean (170-185),Yes,<span class="pos pos13">RCM,1-Aug-12,nan,2023,172cm,66kg,€59.5M,10,nan
218667,Bernardo Silva,27,https://cdn.sofifa.net/players/218/667/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,88,88,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€97.5M,€260K,2185,Left,2,3,4,High/ High,Lean (170-185),Yes,<span class="pos pos15">LCM,1-Jul-17,nan,2025,173cm,64kg,€180.4M,20,nan
182521,T. Kroos,32,https://cdn.sofifa.net/players/182/521/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,88,88,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€72M,€310K,2147,Right,4,5,3,Medium/ Medium,Normal (170-185),Yes,<span class="pos pos15">LCM,17-Jul-14,nan,2023,183cm,76kg,€147.6M,8,nan
121939,17 P. Lahm,32,https://cdn.sofifa.net/players/121/939/17_60.png,Germany,https://cdn.sofifa.net/flags/de.png,88,88,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€29.5M,€200K,2146,Right,4,3,3,Medium/ High,Normal (170-),Yes,<span class="pos pos3">RB,1-Nov-02,nan,2018,170cm,66kg,nan,21,nan
239085,E. Haaland,21,https://cdn.sofifa.net/players/239/085/23_60.png,Norway,https://cdn.sofifa.net/flags/no.png,88,94,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€148M,€220K,2120,Left,4,3,3,High/ Medium,Unique,Yes,<span class="pos pos25">ST,1-Jul-22,nan,2027,195cm,94kg,€303.4M,9,nan
207865,Marquinhos,28,https://cdn.sofifa.net/players/207/865/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,88,90,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€92M,€170K,2082,Right,3,3,3,Medium/ High,Normal (170-185),Yes,<span class="pos pos5">CB,19-Jul-13,nan,2024,183cm,75kg,€177.1M,5,nan
239818,Rúben Dias,25,https://cdn.sofifa.net/players/239/818/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,88,91,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€107.5M,€230K,1894,Right,3,4,2,Medium/ High,Normal (185+),Yes,<span class="pos pos4">RCB,29-Sep-20,nan,2027,187cm,82kg,€206.9M,3,nan
192448,M. ter Stegen,30,https://cdn.sofifa.net/players/192/448/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,88,89,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€68.5M,€210K,1443,Right,4,4,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,1-Jul-14,nan,2025,187cm,85kg,€145.6M,1,nan
193041,K. Navas,35,https://cdn.sofifa.net/players/193/041/23_60.png,Costa Rica,https://cdn.sofifa.net/flags/cr.png,88,88,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€10M,€85K,1428,Right,3,3,1,Medium/ Medium,Normal (185+),Yes,<span class="pos pos28">SUB,2-Sep-19,nan,2024,185cm,80kg,€18.5M,1,nan
230621,G. Donnarumma,23,https://cdn.sofifa.net/players/230/621/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,88,92,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€103.5M,€110K,1375,Right,3,3,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,15-Jul-21,nan,2026,196cm,90kg,€199.2M,99,nan
209658,L. Goretzka,27,https://cdn.sofifa.net/players/209/658/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,87,88,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€91M,€115K,2312,Right,4,4,3,High/ Medium,Unique,Yes,<span class="pos pos28">SUB,1-Jul-18,nan,2026,189cm,82kg,€157M,8,nan
228702,F. de Jong,25,https://cdn.sofifa.net/players/228/702/23_60.png,Netherlands,https://cdn.sofifa.net/flags/nl.png,87,92,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€116.5M,€230K,2238,Right,3,3,4,High/ Medium,Unique,Yes,<span class="pos pos13">RCM,1-Jul-19,nan,2026,180cm,74kg,€247.6M,21,nan
231281,T. Alexander-Arnold,23,https://cdn.sofifa.net/players/231/281/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,87,90,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€100.5M,€150K,2234,Right,3,4,3,High/ Medium,Unique,Yes,<span class="pos pos3">RB,7-Oct-15,nan,2025,180cm,69kg,€193.5M,66,nan
199556,M. Verratti,29,https://cdn.sofifa.net/players/199/556/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,87,87,Paris Saint-Germain,https://cdn.sofifa.net/teams/73/30.png,€77.5M,€155K,2189,Right,3,4,4,Medium/ High,Unique,Yes,<span class="pos pos13">RCM,18-Jul-12,nan,2024,165cm,60kg,€143.4M,6,nan
209499,Fabinho,28,https://cdn.sofifa.net/players/209/499/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,87,88,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€77M,€185K,2165,Right,3,2,3,Medium/ High,Unique,Yes,<span class="pos pos10">CDM,1-Jul-18,nan,2026,188cm,78kg,€148.2M,3,nan
216267,A. Robertson,28,https://cdn.sofifa.net/players/216/267/23_60.png,Scotland,https://cdn.sofifa.net/flags/gb-sct.png,87,87,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€72M,€185K,2154,Left,3,2,3,High/ High,Unique,Yes,<span class="pos pos7">LB,21-Jul-17,nan,2026,178cm,64kg,€133.2M,26,nan
189596,T. Müller,32,https://cdn.sofifa.net/players/189/596/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,87,87,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€63M,€115K,2140,Right,4,4,3,High/ High,Lean (185+),Yes,<span class="pos pos18">CAM,10-Aug-08,nan,2024,185cm,76kg,€104M,25,nan
231866,Rodri,26,https://cdn.sofifa.net/players/231/866/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,87,89,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€88.5M,€200K,2133,Right,3,4,3,Medium/ High,Normal (185+),Yes,<span class="pos pos10">CDM,4-Jul-19,nan,2027,191cm,82kg,€170.4M,16,nan
153079,22 S. Agüero,33,https://cdn.sofifa.net/players/153/079/22_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,87,87,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€51M,€260K,2066,Right,4,4,4,High/ Medium,Unique,Yes,<span class="pos pos28">SUB,1-Jul-21,nan,2023,173cm,70kg,€104.6M,19,nan
205452,A. Rüdiger,29,https://cdn.sofifa.net/players/205/452/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,87,88,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€73.5M,€250K,2011,Right,2,3,2,High/ High,Lean (185+),Yes,<span class="pos pos4">RCB,1-Jul-22,nan,2026,190cm,85kg,€156.2M,22,nan
201024,K. Koulibaly,31,https://cdn.sofifa.net/players/201/024/23_60.png,Senegal,https://cdn.sofifa.net/flags/sn.png,87,87,Chelsea,https://cdn.sofifa.net/teams/5/30.png,€54.5M,€175K,1789,Right,3,4,2,Medium/ High,Unique,Yes,<span class="pos pos6">LCB,16-Jul-22,nan,2026,187cm,89kg,€100.8M,26,nan
215698,M. Maignan,26,https://cdn.sofifa.net/players/215/698/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,87,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€80M,€90K,1496,Right,2,4,1,Medium/ Medium,Normal (185+),Yes,<span class="pos pos0">GK,1-Jul-21,nan,2026,191cm,89kg,€142M,16,nan
193080,De Gea,31,https://cdn.sofifa.net/players/193/080/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,87,87,Manchester United,https://cdn.sofifa.net/teams/11/30.png,€42M,€150K,1415,Right,4,3,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,1-Jul-11,nan,2023,192cm,76kg,€79.8M,1,nan
167948,H. Lloris,35,https://cdn.sofifa.net/players/167/948/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,87,87,Tottenham Hotspur,https://cdn.sofifa.net/teams/18/30.png,€9M,€80K,1399,Left,4,1,1,Medium/ Medium,Unique,Yes,<span class="pos pos0">GK,31-Aug-12,nan,2024,188cm,82kg,€17.1M,1,nan
212198,Bruno Fernandes,27,https://cdn.sofifa.net/players/212/198/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,86,87,Manchester United,https://cdn.sofifa.net/teams/11/30.png,€78.5M,€190K,2305,Right,3,3,4,High/ High,Unique,Yes,<span class="pos pos15">LCM,30-Jan-20,nan,2026,179cm,69kg,€155M,8,nan
224232,N. Barella,25,https://cdn.sofifa.net/players/224/232/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,86,89,Inter,https://cdn.sofifa.net/teams/44/30.png,€89.5M,€110K,2296,Right,3,3,3,High/ High,Normal (170-),Yes,<span class="pos pos13">RCM,1-Sep-20,nan,2026,172cm,68kg,€154.4M,23,nan
197445,D. Alaba,30,https://cdn.sofifa.net/players/197/445/23_60.png,Austria,https://cdn.sofifa.net/flags/at.png,86,86,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€55.5M,€220K,2277,Left,4,4,3,Medium/ Medium,Normal (170-185),Yes,<span class="pos pos6">LCB,1-Jul-21,nan,2026,180cm,78kg,€113.8M,4,nan
223848,S. Milinković-Savić,27,https://cdn.sofifa.net/players/223/848/23_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,86,87,Lazio,https://cdn.sofifa.net/teams/46/30.png,€77.5M,€90K,2250,Right,3,5,4,High/ Medium,Normal (185+),Yes,<span class="pos pos13">RCM,6-Aug-15,nan,2024,191cm,76kg,€137.6M,21,nan
216352,M. Brozović,29,https://cdn.sofifa.net/players/216/352/23_60.png,Croatia,https://cdn.sofifa.net/flags/hr.png,86,86,Inter,https://cdn.sofifa.net/teams/44/30.png,€58M,€110K,2227,Right,3,4,3,Medium/ Medium,Lean (170-185),Yes,<span class="pos pos10">CDM,1-Jul-16,nan,2026,181cm,68kg,€95.7M,77,nan
189509,Thiago,31,https://cdn.sofifa.net/players/189/509/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,86,86,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€55.5M,€180K,2225,Right,3,3,5,Medium/ Medium,Normal (170-185),Yes,<span class="pos pos15">LCM,18-Sep-20,nan,2024,174cm,70kg,€102.7M,6,nan
232411,C. Nkunku,24,https://cdn.sofifa.net/players/232/411/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,86,89,RB Leipzig,https://cdn.sofifa.net/teams/112172/30.png,€94M,€90K,2196,Right,3,3,5,High/ Medium,Normal (170-185),Yes,<span class="pos pos28">SUB,nan,nan,nan,175cm,73kg,€166.9M,12,nan
231478,L. Martínez,24,https://cdn.sofifa.net/players/231/478/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,86,90,Inter,https://cdn.sofifa.net/teams/44/30.png,€98.5M,€110K,2163,Right,3,4,4,High/ Medium,Unique,Yes,<span class="pos pos26">LS,5-Jul-18,nan,2026,174cm,72kg,€169.9M,10,nan
189513,Parejo,33,https://cdn.sofifa.net/players/189/513/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,86,86,Villarreal CF,https://cdn.sofifa.net/teams/483/30.png,€42M,€64K,2162,Right,2,4,3,Medium/ Medium,Normal (170-185),Yes,<span class="pos pos15">LCM,12-Aug-20,nan,2024,182cm,74kg,€88.2M,5,nan
211110,P. Dybala,28,https://cdn.sofifa.net/players/211/110/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,86,86,Roma,https://cdn.sofifa.net/teams/52/30.png,€69.5M,€130K,2108,Left,3,3,4,High/ Low,Unique,Yes,<span class="pos pos22">LF,20-Jul-22,nan,2025,177cm,75kg,€118.2M,21,nan
10535,15 Xavi,34,https://cdn.sofifa.net/players/010/535/15_60.png,Spain,https://cdn.sofifa.net/flags/es.png,86,86,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€15.5M,€160K,2104,Right,4,3,3,Medium/ Medium,Normal (170-),Yes,<span class="pos pos28">SUB,1-Jul-98,nan,2020,170cm,67kg,nan,6,nan
202652,R. Sterling,27,https://cdn.sofifa.net/players/202/652/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,86,86,Chelsea,https://cdn.sofifa.net/teams/5/30.png,€72.5M,€195K,2102,Right,4,3,4,High/ Medium,Unique,Yes,<span class="pos pos25">ST,13-Jul-22,nan,2027,170cm,69kg,€134.1M,17,nan
204485,R. Mahrez,31,https://cdn.sofifa.net/players/204/485/23_60.png,Algeria,https://cdn.sofifa.net/flags/dz.png,86,86,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€56.5M,€220K,2063,Left,3,4,5,Medium/ Medium,Unique,Yes,<span class="pos pos28">SUB,10-Jul-18,nan,2025,179cm,67kg,€104.5M,26,nan
192387,C. Immobile,32,https://cdn.sofifa.net/players/192/387/23_60.png,Italy,https://cdn.sofifa.net/flags/it.png,86,86,Lazio,https://cdn.sofifa.net/teams/46/30.png,€55M,€100K,2060,Right,4,4,3,High/ Medium,Unique,Yes,<span class="pos pos25">ST,27-Jul-16,nan,2025,185cm,85kg,€93.5M,17,nan
192505,R. Lukaku,29,https://cdn.sofifa.net/players/192/505/23_60.png,Belgium,https://cdn.sofifa.net/flags/be.png,86,86,Inter,https://cdn.sofifa.net/teams/44/30.png,€68M,€200K,2034,Left,4,4,3,Medium/ Low,Unique,Yes,<span class="pos pos24">RS,nan,<a href="/team/5/chelsea/">Chelsea</a>,30-Jun-23,191cm,94kg,nan,90,nan
164240,Thiago Silva,37,https://cdn.sofifa.net/players/164/240/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,86,86,Chelsea,https://cdn.sofifa.net/teams/5/30.png,€12M,€115K,2012,Right,4,3,2,Medium/ High,Normal (170-185),Yes,<span class="pos pos5">CB,28-Aug-20,nan,2023,183cm,79kg,€22.2M,6,nan
238794,Vinícius Jr.,21,https://cdn.sofifa.net/players/238/794/23_60.png,Brazil,https://cdn.sofifa.net/flags/br.png,86,92,Real Madrid CF,https://cdn.sofifa.net/teams/243/30.png,€109M,€200K,1985,Right,2,4,5,High/ Medium,Lean (170-185),Yes,<span class="pos pos27">LW,12-Jul-18,nan,2025,176cm,73kg,€245.3M,20,nan
213345,K. Coman,26,https://cdn.sofifa.net/players/213/345/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,86,87,FC Bayern München,https://cdn.sofifa.net/teams/21/30.png,€80M,€105K,1981,Right,4,3,5,Medium/ Medium,Unique,Yes,<span class="pos pos16">LM,30-Aug-15,nan,2027,179cm,75kg,€138M,11,nan
212218,A. Laporte,28,https://cdn.sofifa.net/players/212/218/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,86,87,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€64.5M,€195K,1962,Left,3,3,2,Medium/ Medium,Unique,Yes,<span class="pos pos6">LCB,30-Jan-18,nan,2025,191cm,85kg,€124.2M,14,nan
232363,M. Škriniar,27,https://cdn.sofifa.net/players/232/363/23_60.png,Slovakia,https://cdn.sofifa.net/flags/sk.png,86,87,Inter,https://cdn.sofifa.net/teams/44/30.png,€68.5M,€105K,1861,Right,3,3,2,Low/ High,Unique,Yes,<span class="pos pos4">RCB,7-Jul-17,nan,2023,188cm,80kg,€118.2M,37,nan
186153,W. Szczęsny,32,https://cdn.sofifa.net/players/186/153/23_60.png,Poland,https://cdn.sofifa.net/flags/pl.png,86,86,Juventus,https://cdn.sofifa.net/teams/45/30.png,€33.5M,€125K,1314,Right,3,3,1,Medium/ Medium,Lean (185+),Yes,<span class="pos pos0">GK,19-Jul-17,nan,2024,195cm,90kg,€57M,1,nan
234642,É. Mendy,30,https://cdn.sofifa.net/players/234/642/23_60.png,Senegal,https://cdn.sofifa.net/flags/sn.png,86,87,Chelsea,https://cdn.sofifa.net/teams/5/30.png,€51M,€130K,1225,Right,2,2,1,Medium/ Medium,Lean (185+),Yes,<span class="pos pos0">GK,24-Sep-20,nan,2025,197cm,86kg,€98.2M,16,nan
224334,M. Acuña,30,https://cdn.sofifa.net/players/224/334/23_60.png,Argentina,https://cdn.sofifa.net/flags/ar.png,85,85,Sevilla FC,https://cdn.sofifa.net/teams/481/30.png,€46.5M,€46K,2303,Left,2,3,3,High/ High,Stocky (170-185),No,<span class="pos pos7">LB,14-Sep-20,nan,2024,172cm,69kg,€97.7M,19,nan
208574,F. Kostić,29,https://cdn.sofifa.net/players/208/574/23_60.png,Serbia,https://cdn.sofifa.net/flags/rs.png,85,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,€53M,€56K,2234,Left,3,2,3,High/ High,Normal (170-185),Yes,<span class="pos pos16">LM,17-May-19,nan,2023,184cm,84kg,€90.1M,10,nan
189332,Jordi Alba,33,https://cdn.sofifa.net/players/189/332/23_60.png,Spain,https://cdn.sofifa.net/flags/es.png,85,85,FC Barcelona,https://cdn.sofifa.net/teams/241/30.png,€28M,€190K,2218,Left,3,3,3,High/ Medium,Unique,Yes,<span class="pos pos7">LB,1-Jul-12,nan,2024,170cm,68kg,€57.4M,18,nan
188377,K. Walker,32,https://cdn.sofifa.net/players/188/377/23_60.png,England,https://cdn.sofifa.net/flags/gb-eng.png,85,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€37.5M,€170K,2196,Right,3,2,3,High/ High,Unique,Yes,<span class="pos pos3">RB,14-Jul-17,nan,2024,183cm,83kg,€69.4M,2,nan
232656,T. Hernández,24,https://cdn.sofifa.net/players/232/656/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,85,90,AC Milan,https://cdn.sofifa.net/teams/47/30.png,€76M,€82K,2195,Left,3,3,3,High/ Medium,Unique,Yes,<span class="pos pos7">LB,5-Jul-19,nan,2026,184cm,81kg,€134.9M,19,nan
186942,İ. Gündoğan,31,https://cdn.sofifa.net/players/186/942/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,85,85,Manchester City,https://cdn.sofifa.net/teams/10/30.png,€44M,€185K,2195,Right,3,4,4,High/ Medium,Normal (170-185),Yes,<span class="pos pos28">SUB,1-Jul-16,nan,2023,180cm,80kg,€81.4M,8,nan
224458,Diogo Jota,25,https://cdn.sofifa.net/players/224/458/23_60.png,Portugal,https://cdn.sofifa.net/flags/pt.png,85,89,Liverpool,https://cdn.sofifa.net/teams/9/30.png,€76M,€170K,2183,Right,2,5,4,High/ High,Normal (170-185),Yes,<span class="pos pos28">SUB,19-Sep-20,nan,2025,178cm,73kg,€146.3M,20,nan
195864,P. Pogba,29,https://cdn.sofifa.net/players/195/864/23_60.png,France,https://cdn.sofifa.net/flags/fr.png,85,85,Juventus,https://cdn.sofifa.net/teams/45/30.png,€52.5M,€165K,2170,Right,4,4,5,Medium/ Low,Unique,Yes,<span class="pos pos29">RES,11-Jul-22,nan,2026,191cm,84kg,€89.3M,10,nan
188350,M. Reus,33,https://cdn.sofifa.net/players/188/350/23_60.png,Germany,https://cdn.sofifa.net/flags/de.png,85,85,Borussia Dortmund,https://cdn.sofifa.net/teams/22/30.png,€33.5M,€78K,2154,Right,4,4,4,High/ Medium,Unique,Yes,<span class="pos pos18">CAM,1-Jul-12,nan,2023,180cm,71kg,€57M,11,nan
